time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h)
2023-03-15T00:00,7.6,92,6.1,0.00,999.5,0,4.7
2023-03-15T01:00,6.7,94,4.8,0.00,998.9,2,5.9
2023-03-15T02:00,5.8,94,3.7,0.00,998.7,2,6.6
2023-03-15T03:00,5.2,94,3.1,0.00,998.1,5,5.4
2023-03-15T04:00,4.5,95,2.5,0.00,996.9,0,4.0
2023-03-15T05:00,3.9,96,1.8,0.00,996.5,0,3.9
2023-03-15T06:00,3.4,96,1.2,0.00,995.9,0,4.0
2023-03-15T07:00,3.2,95,1.0,0.00,995.3,6,3.3
2023-03-15T08:00,6.1,89,3.9,0.00,995.3,6,5.9
2023-03-15T09:00,10.4,83,9.2,0.00,995.4,0,3.8
2023-03-15T10:00,13.8,72,13.0,0.00,995.3,0,3.3
2023-03-15T11:00,16.3,63,15.6,0.00,995.1,0,6.3
2023-03-15T12:00,17.8,54,17.2,0.00,994.8,0,7.6
2023-03-15T13:00,19.0,48,18.2,0.00,994.3,0,9.8
2023-03-15T14:00,19.4,47,18.3,0.00,993.1,0,10.8
2023-03-15T15:00,19.5,49,18.4,0.00,992.1,0,9.4
2023-03-15T16:00,19.5,53,18.3,0.00,991.6,0,7.8
2023-03-15T17:00,17.8,62,16.3,0.00,991.3,0,10.9
2023-03-15T18:00,14.1,70,12.6,0.00,991.2,0,8.4
2023-03-15T19:00,13.0,67,11.8,0.00,991.4,0,3.3
2023-03-15T20:00,9.7,85,8.3,0.00,991.4,0,5.4
2023-03-15T21:00,9.0,88,7.3,0.00,991.1,4,6.4
2023-03-15T22:00,8.4,89,6.7,0.00,990.7,25,5.6
2023-03-15T23:00,10.9,81,9.9,0.00,990.4,26,3.2
2023-03-16T00:00,9.7,85,8.3,0.00,989.7,30,5.0
2023-03-16T01:00,7.6,92,6.0,0.00,989.0,30,4.5
2023-03-16T02:00,7.0,93,5.1,0.00,988.4,25,6.3
2023-03-16T03:00,6.5,93,4.6,0.00,988.0,28,5.5
2023-03-16T04:00,7.0,92,5.1,0.00,987.3,29,5.6
2023-03-16T05:00,7.3,91,5.2,0.00,986.9,30,7.4
2023-03-16T06:00,6.3,92,3.8,0.00,986.8,30,9.2
2023-03-16T07:00,6.9,92,4.8,0.00,986.9,30,6.9
2023-03-16T08:00,9.3,87,7.8,0.00,987.6,30,5.9
2023-03-16T09:00,11.9,82,10.9,0.00,987.9,31,5.3
2023-03-16T10:00,13.9,76,12.5,0.00,987.9,34,9.4
2023-03-16T11:00,15.5,69,14.0,0.00,987.5,44,12.2
2023-03-16T12:00,17.0,61,15.2,0.00,986.5,87,13.5
2023-03-16T13:00,17.6,57,15.4,0.00,986.1,93,13.6
2023-03-16T14:00,16.7,60,14.2,0.00,985.5,62,15.3
2023-03-16T15:00,15.3,75,13.5,0.70,985.5,94,15.0
2023-03-16T16:00,13.7,84,12.2,3.60,985.7,100,12.5
2023-03-16T17:00,12.8,89,11.8,1.60,985.7,100,9.2
2023-03-16T18:00,12.2,91,11.1,2.70,985.7,100,9.4
2023-03-16T19:00,11.9,93,10.9,5.50,985.9,100,9.0
2023-03-16T20:00,11.6,96,10.1,2.00,986.2,100,12.4
2023-03-16T21:00,11.9,96,10.8,0.30,986.6,93,10.2
2023-03-16T22:00,11.6,98,10.7,0.20,986.7,71,8.8
2023-03-16T23:00,11.0,91,9.9,0.30,987.2,61,7.4
2023-03-17T00:00,10.5,94,8.8,0.00,986.6,50,11.0
2023-03-17T01:00,10.8,94,8.4,0.60,987.0,100,16.0
2023-03-17T02:00,11.1,91,9.3,0.30,986.6,100,12.5
2023-03-17T03:00,10.7,96,8.5,0.90,986.5,100,15.8
2023-03-17T04:00,10.5,92,8.0,1.50,986.4,100,16.4
2023-03-17T05:00,10.5,92,7.7,1.60,986.9,100,18.0
2023-03-17T06:00,10.1,93,7.4,0.30,987.5,100,16.9
2023-03-17T07:00,10.3,93,8.1,0.80,988.0,100,13.7
2023-03-17T08:00,10.5,92,7.3,1.50,988.8,100,20.4
2023-03-17T09:00,10.9,93,7.8,1.90,988.8,100,20.7
2023-03-17T10:00,11.7,87,8.6,1.70,989.1,100,20.9
2023-03-17T11:00,12.2,88,9.6,1.50,990.0,100,18.8
2023-03-17T12:00,12.7,78,9.0,2.70,989.7,48,23.6
2023-03-17T13:00,14.0,76,10.8,0.10,989.9,57,22.4
2023-03-17T14:00,13.1,80,10.0,1.00,989.8,75,20.7
2023-03-17T15:00,11.7,86,9.0,1.40,990.4,100,17.7
2023-03-17T16:00,12.0,85,9.2,0.10,990.4,73,18.2
2023-03-17T17:00,11.6,84,9.2,2.20,990.5,42,14.8
2023-03-17T18:00,11.3,85,9.0,0.10,990.8,45,13.8
2023-03-17T19:00,10.0,89,7.8,0.40,991.4,81,11.8
2023-03-17T20:00,9.9,89,8.3,0.20,991.8,53,8.1
2023-03-17T21:00,9.7,90,8.2,0.10,992.4,54,7.1
2023-03-17T22:00,9.0,93,7.6,0.20,992.3,26,5.8
2023-03-17T23:00,9.0,93,7.5,0.00,992.3,65,6.3
2023-03-18T00:00,9.0,90,7.5,0.00,992.7,94,6.1
2023-03-18T01:00,9.3,88,7.9,0.00,992.7,100,5.0
2023-03-18T02:00,9.9,90,8.3,0.50,992.9,100,8.6
2023-03-18T03:00,10.0,92,8.6,0.80,992.8,100,7.3
