dt,temp,humidity,feels_like,rain_1h,weather_code,pressure,grnd_level,clouds_all,wind_speed
2023-01-01T00:00,12.7,95,11.9,3.70,63,1019.0,995.8,100,9.8
2023-01-01T01:00,12.6,93,11.4,5.70,63,1018.1,994.9,100,11.9
2023-01-01T02:00,12.7,92,11.8,8.70,65,1016.8,993.7,100,9.5
2023-01-01T03:00,13.1,91,11.8,10.20,65,1016.2,993.1,100,12.1
2023-01-01T04:00,13.7,87,10.5,2.60,63,1015.3,992.3,100,25.9
2023-01-01T05:00,13.8,86,10.4,1.40,61,1015.0,992.0,100,26.4
2023-01-01T06:00,13.9,85,10.5,0.80,53,1014.8,991.8,100,25.9
2023-01-01T07:00,13.8,85,9.8,1.20,55,1014.7,991.7,100,30.3
2023-01-01T08:00,13.7,84,9.8,1.40,61,1015.1,992.1,100,29.5
2023-01-01T09:00,13.5,83,9.7,1.40,61,1015.0,992.0,100,27.7
2023-01-01T10:00,13.3,82,9.0,1.70,61,1014.3,991.3,100,30.2
2023-01-01T11:00,13.0,85,8.6,2.90,63,1014.3,991.2,100,31.7
2023-01-01T12:00,13.3,92,10.1,8.40,65,1013.8,990.8,100,26.5
2023-01-01T13:00,13.2,94,10.9,6.60,63,1014.2,991.2,100,21.0
2023-01-01T14:00,12.8,94,11.0,5.50,63,1014.4,991.3,100,16.7
2023-01-01T15:00,12.5,95,11.4,4.40,63,1014.2,991.1,100,11.4
2023-01-01T16:00,12.1,92,11.1,2.30,61,1014.5,991.4,100,9.4
2023-01-01T17:00,11.9,89,10.5,2.10,61,1015.1,991.9,100,10.2
2023-01-01T18:00,11.3,91,9.9,2.40,61,1016.0,992.8,93,10.3
2023-01-01T19:00,11.1,90,10.1,1.50,61,1017.0,993.7,100,5.8
2023-01-01T20:00,10.9,93,9.9,0.80,53,1018.2,994.9,100,6.8
2023-01-01T21:00,10.1,91,8.1,1.10,55,1019.4,996.0,100,12.1
2023-01-01T22:00,9.6,93,8.4,0.20,51,1020.2,996.7,34,5.8
2023-01-01T23:00,8.9,93,7.7,0.40,51,1021.1,997.6,57,4.8
2023-01-02T00:00,8.5,93,7.4,0.00,1,1022.1,998.5,28,2.9
2023-01-02T01:00,7.9,95,6.3,0.00,1,1022.0,998.4,20,5.8
2023-01-02T02:00,7.4,94,5.7,0.00,1,1022.5,998.8,37,6.1
2023-01-02T03:00,7.1,94,5.4,0.10,51,1023.2,999.5,31,5.6
2023-01-02T04:00,7.1,93,5.5,0.10,51,1024.1,1000.3,42,4.1
2023-01-02T05:00,6.8,93,5.0,0.20,51,1024.8,1001.0,54,4.7
2023-01-02T06:00,6.2,95,4.3,0.00,2,1025.1,1001.2,55,5.1
2023-01-02T07:00,6.1,94,4.1,0.00,0,1025.7,1001.8,16,5.4
2023-01-02T08:00,5.8,94,3.9,0.00,0,1026.2,1002.3,18,4.4
2023-01-02T09:00,6.6,93,4.7,0.00,0,1026.6,1002.7,10,5.4
2023-01-02T10:00,8.7,91,7.5,0.00,0,1027.2,1003.5,11,3.6
2023-01-02T11:00,10.7,83,9.9,0.00,0,1027.6,1004.1,5,2.0
2023-01-02T12:00,11.3,80,10.3,0.00,0,1027.7,1004.2,8,3.3
2023-01-02T13:00,11.9,76,10.8,0.00,0,1027.4,1004.0,18,3.9
2023-01-02T14:00,12.2,72,11.0,0.00,0,1027.4,1004.0,10,3.4
2023-01-02T15:00,12.2,70,11.1,0.00,0,1027.5,1004.1,12,2.9
2023-01-02T16:00,11.8,71,10.5,0.00,0,1027.8,1004.3,18,3.8
