time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h)
2023-01-01T00:00,12.7,95,3.70,995.8,100,9.8
2023-01-01T01:00,12.6,93,5.70,994.9,100,11.9
2023-01-01T02:00,12.7,92,8.70,993.7,100,9.5
2023-01-01T03:00,13.1,91,10.20,993.1,100,12.1
2023-01-01T04:00,13.7,87,2.60,992.3,100,25.9
2023-01-01T05:00,13.8,86,1.40,992.0,100,26.4
2023-01-01T06:00,13.9,85,0.80,991.8,100,25.9
2023-01-01T07:00,13.8,85,1.20,991.7,100,30.3
2023-01-01T08:00,13.7,84,1.40,992.1,100,29.5
2023-01-01T09:00,13.5,83,1.40,992.0,100,27.7
2023-01-01T10:00,13.3,82,1.70,991.3,100,30.2
2023-01-01T11:00,13.0,85,2.90,991.2,100,31.7
2023-01-01T12:00,13.3,92,8.40,990.8,100,26.5
2023-01-01T13:00,13.2,94,6.60,991.2,100,21.0
2023-01-01T14:00,12.8,94,5.50,991.3,100,16.7
2023-01-01T15:00,12.5,95,4.40,991.1,100,11.4
2023-01-01T16:00,12.1,92,2.30,991.4,100,9.4
2023-01-01T17:00,11.9,89,2.10,991.9,100,10.2
2023-01-01T18:00,11.3,91,2.40,992.8,93,10.3
2023-01-01T19:00,11.1,90,1.50,993.7,100,5.8
2023-01-01T20:00,10.9,93,0.80,994.9,100,6.8
2023-01-01T21:00,10.1,91,1.10,996.0,100,12.1
2023-01-01T22:00,9.6,93,0.20,996.7,34,5.8
2023-01-01T23:00,8.9,93,0.40,997.6,57,4.8
2023-01-02T00:00,8.5,93,0.00,998.5,28,2.9
2023-01-02T01:00,7.9,95,0.00,998.4,20,5.8
2023-01-02T02:00,7.4,94,0.00,998.8,37,6.1
2023-01-02T03:00,7.1,94,0.10,999.5,31,5.6
2023-01-02T04:00,7.1,93,0.10,1000.3,42,4.1
2023-01-02T05:00,6.8,93,0.20,1001.0,54,4.7
2023-01-02T06:00,6.2,95,0.00,1001.2,55,5.1
2023-01-02T07:00,6.1,94,0.00,1001.8,16,5.4
2023-01-02T08:00,5.8,94,0.00,1002.3,18,4.4
2023-01-02T09:00,6.6,93,0.00,1002.7,10,5.4
2023-01-02T10:00,8.7,91,0.00,1003.5,11,3.6
2023-01-02T11:00,10.7,83,0.00,1004.1,5,2.0
2023-01-02T12:00,11.3,80,0.00,1004.2,8,3.3
2023-01-02T13:00,11.9,76,0.00,1004.0,18,3.9
